target,model,RMSE,MAE,MAPE,sMAPE,MASE,n_forecasts
unemployment,RF Residual Hybrid,48751.98059820535,38254.45440658798,2.796965082802596,2.8262907139215727,1.3095715025729453,300
unemployment,VAR,96565.86717023981,77263.79094350427,5.496279113588198,5.715198398995348,2.6449850186058774,300
unemployment,Dynamic Weighted Ensemble,114033.69795732744,96540.54556253327,6.828198233673133,7.159309431769742,3.3048895683574573,300
unemployment,SARIMAX,134000.0573408096,112391.70936581377,8.067941601642591,8.553079293772633,3.847525261936113,300
unemployment,TBATS-Prophet,134450.48767341534,112872.26291419,8.101622973784018,8.590245799336229,3.863976136538194,300
unemployment,BiLSTM-Attention,153757.0629833219,123985.69583315542,8.60925492558163,9.184948995731054,4.244424250939397,300
vacancies,RF Residual Hybrid,43364.00126448497,31462.385229152573,5.326604086159257,5.259649423389547,1.000053112062972,300
vacancies,Dynamic Weighted Ensemble,75778.0284025611,65604.35397766555,11.710486140368948,10.882980539574143,2.0852785916388186,300
vacancies,VAR,80394.51260194338,65310.62333410964,11.60145497731474,10.736951425764609,2.0759421652344985,300
vacancies,SARIMAX,80467.09634993879,60368.07212230176,10.390990118249304,9.633702683852906,1.9188398449590751,300
vacancies,BiLSTM-Attention,153854.671479003,122817.78323461051,19.466997326345066,22.16491559145183,3.9038459877047273,300
vacancies,TBATS-Prophet,298350.4466790169,283393.5210553195,51.51279796634566,39.7175595468923,9.007854001077247,300
theta,RF Residual Hybrid,0.04885134072255579,0.03502342167218265,7.84475089591686,7.648562270459992,1.2298410198267316,300
theta,Dynamic Weighted Ensemble,0.0903311158043671,0.0801112724125585,19.845213249192906,17.624203490038333,2.8130926180102738,300
theta,VAR,0.09265830922791082,0.07332658558380366,17.795356229075736,15.766085814391436,2.574849586053515,300
theta,SARIMAX,0.1110443140249351,0.0832413455777742,19.272458290516937,16.677114429217255,2.9230045623563234,300
theta,BiLSTM-Attention,0.13176515351213564,0.1015814645145835,22.368997584971613,22.831780364682857,3.567014470585928,300
theta,TBATS-Prophet,0.2699272833117344,0.2574203165600336,65.20288682814176,47.528898091981645,9.039267139731248,300
